назва,широта,довгота,тип,область,населення
Київ,50.4500336,30.5241361,місто,,2952301
Харків,49.9923181,36.2310146,місто,,1447652
Дніпро,48.4680221,35.0417711,місто,,1080486
Одеса,46.4843023,30.7322878,місто,,1008852
Донецьк,48.0158753,37.8013407,місто,,929063
Львів,49.841952,24.0315921,місто,,724822
Запоріжжя,47.8507859,35.1182867,місто,,706116
Кривий Ріг,47.9102734,33.3917703,місто,,656700
Миколаїв,46.9758615,31.9939666,місто,,480080
Севастополь,44.6054434,33.5220842,місто,Севастополь,458253
Маріуполь,47.0957648,37.5499621,місто,,453623
Луганськ,48.5717084,39.2973153,місто,,414509
Вінниця,49.2320162,28.467975,місто,,373302
Макіївка,48.0448144,37.9635093,місто,,347227
Сімферопіль,44.9475384,34.1139194,місто,Республика Крым,341799
Сімферополь,44.9521459,34.1024858,місто,,340540
Полтава,49.5897423,34.5507948,місто,,297600
Херсон,46.6401295,32.6143922,місто,,294941
Чернігів,51.494099,31.294332,місто,,293969
Горлівка,48.3058686,38.0027664,місто,,289872
Черкаси,49.4447056,32.0588085,місто,,274343
Хмельницький,49.4196404,26.9793793,місто,,269308
Суми,50.9119775,34.8027723,місто,,267633
Житомир,50.2601065,28.6696281,місто,,267610
Чернівці,48.2864702,25.9376532,місто,,266650
Рівне,50.6196175,26.2513165,місто,,245323
Кам’янське,48.5167748,34.6068797,місто,,239237
Кропивницький,48.5105805,32.2656283,місто,,234712
Івано-Франківськ,48.9224763,24.710334,місто,,230929
Кременчук,49.0629553,33.403516,місто,,226400
Луцьк,50.7450733,25.320078,місто,,217502
Тернопіль,49.5557908,25.5923753,місто,,217326
Біла Церква,49.7969703,30.1158069,місто,,209815
Краматорськ,48.7389415,37.5843812,місто,,159445
Мелітополь,46.8467267,35.3827281,місто,,156917
Керч,45.3534002,36.4538645,місто,,151996
Самар,48.6358512,35.2595541,містечко,,124787
Нікополь,47.5692061,34.3917272,місто,,119939
Бердянськ,46.755678,36.7887623,місто,,116450
Ужгород,48.6223731,22.3022572,місто,,114867
Слов’янськ,48.8522691,37.6058241,місто,,114437
Алчевськ,48.4701987,38.8010178,місто,,112013
Сіверськодонецьк,48.9478698,38.4936475,місто,,110612
Павлоград,48.5316759,35.8703695,місто,,110609
Євпаторія,45.1907635,33.3679049,місто,,108149
Бровари,50.5111168,30.7900482,місто,,107384
Лисичанськ,48.917267,38.4285981,місто,,105682
Кам’янець-Подільський,48.6781294,26.5854027,місто,,101235
Конотоп,51.2397495,33.206675,містечко,,87881
Умань,48.7497621,30.2203052,містечко,,86614
Єнакієве,48.2305107,38.185045,містечко,,85663
Мукачево,48.4421119,22.7185408,містечко,,85569
Хрустальний,48.1351471,38.9198948,містечко,,84036
Бахмут,48.5894123,38.0020994,містечко,,83146
Ровеньки,48.0897987,39.368029,містечко,,81103
Шостка,51.864355,33.4728542,містечко,,79611
Олександрія,48.670609,33.1169742,містечко,,79289
Кадіївка,48.5595971,38.6499847,містечко,,79010
Бердичів,49.8940442,28.5814912,містечко,,78774
Костянтинівка,48.534859,37.6923705,містечко,,78179
Дрогобич,49.3513996,23.5061662,містечко,,74610
Ізмаїл,45.3511307,28.8361514,містечко,,74421
Ніжин,51.0464747,31.8806289,містечко,,74058
Лозова,48.8842428,36.3160254,містечко,,71500
Ковель,51.2120538,24.708894,містечко,,68703
Сміла,49.2336897,31.8829216,містечко,,68520
Шептицький,50.3940289,24.2396098,містечко,,68308
Феодосія,45.033669,35.3753628,містечко,,67750
Калуш,49.028894,24.3613198,містечко,,67559
Первомайськ,48.045745,30.8475997,містечко,,66965
Довжанськ,48.0811324,39.642561,містечко,,65868
Коростень,50.9491068,28.6417552,містечко,,65643
Покровськ,48.2771086,37.1772482,містечко,,63635
Коломия,48.5259211,25.0380538,містечко,,61286
Рубіжне,49.0329045,38.3725819,містечко,,60721
Дружківка,48.6198614,37.524945,містечко,,60581
Харцизьк,48.0339524,38.149804,містечко,,60016
Шахтарськ,48.0550423,38.4459474,містечко,,60000
Стрий,49.255875,23.8530863,містечко,,59488
Чорноморськ,46.3020943,30.653466,містечко,,59229
Прилуки,50.5950864,32.3866658,містечко,,58890
Куп’янськ,49.7132963,37.6141992,містечко,,58306
Бориспіль,50.3512101,30.95077,містечко,,58227
Нововолинськ,50.7224829,24.1648399,містечко,,57900
Звягель,50.5917622,27.6066973,містечко,,56254
Чистяковe,48.0261217,38.618137,містечко,,55924
Антрацит,48.1164285,39.0886375,містечко,,55441
Енергодар,47.4900575,34.6602709,містечко,,54658
Ізюм,49.1913721,37.2784125,містечко,,51872
Горішні Плавні,49.0140647,33.6330875,містечко,,51800
Фастів,50.0799307,29.9162821,містечко,,50517
Білгород-Дністровський,46.1909823,30.345784,містечко,,50296
Мирноград,48.30791,37.2591,містечко,,49644
Охтирка,50.3115386,34.8868923,містечко,,49091
Марганець,47.6490555,34.649194,містечко,,48739
Жовті Води,48.3465174,33.5027797,містечко,,48620
Брянка,48.50361,38.66432,містечко,,48509
Нова Каховка,46.7583404,33.3566678,містечко,,48298
Лубни,50.0118206,33.0030821,містечко,,47845
Сніжне,48.0220754,38.7634612,містечко,,46377
Сорокине,48.2951425,39.7296737,містечко,,44840
Шепетівка,50.1809437,27.0651783,містечко,,43512
Ромни,50.74207,33.4877,містечко,,43344
Вараш,51.3481736,25.8500623,містечко,,43302
Світловодськ,49.04537,33.20721,містечко,,43130
Покров,47.6546589,34.1149341,містечко,,41894
Ірпінь,50.5206777,30.2448725,містечко,,41533
Миргород,49.9658333,33.6113889,містечко,,41200
Подільськ,47.7497422,29.5304957,містечко,,40668
Південноукраїнськ,47.824269,31.1786814,містечко,,40206
Вишневе,50.3917497,30.3678999,містечко,,39094
Сокологірськ,48.6252414,38.5372813,містечко,,38801
Володимир,50.8474669,24.319319,містечко,,38800
Дубно,50.4187918,25.7455972,містечко,,38037
Васильків,50.178137,30.3175045,містечко,,37495
Каховка,46.8054626,33.4817825,містечко,,37409
Джанкой,45.7119746,34.3927394,містечко,,37014
Нетішин,50.3338348,26.6496599,містечко,,36497
Торецьк,48.3970469,37.8501378,містечко,,36324
Ясинувата,48.1270606,37.8590172,містечко,,35856
Глухів,51.67831,33.9093,містечко,,35800
Боярка,50.3356709,30.2847595,містечко,,35558
Жмеринка,49.0354593,28.1147317,містечко,,35513
Славута,50.2962398,26.8658254,містечко,,35506
Старокостянтинів,49.756163,27.2087889,містечко,,35016
Самбір,49.5182214,23.1970412,містечко,,34823
Вознесенськ,47.5679582,31.3338636,містечко,,34404
Токмак,47.2550191,35.7092206,містечко,,33153
Борислав,49.2824381,23.4138765,містечко,,32913
Обухів,50.1101633,30.6269696,містечко,,32615
Могилів-Подільський,48.442544,27.7991124,містечко,,32468
Чугуїв,49.836626,36.6899391,містечко,,32290
Балаклія,49.4521336,36.8397826,містечко,,32117
Добропілля,48.4683035,37.0903243,містечко,,31701
Синельникове,48.3269304,35.5246984,містечко,,31552
Златопіль,49.3754529,36.2143454,містечко,,31275
Костопіль,50.8792198,26.4533981,містечко,,31159
Новояворівськ,49.9316152,23.5661291,містечко,,30271
Яни Капу,45.9568404,33.7974907,містечко,,30033
Красноперекопськ,45.9567395,33.8179305,містечко,,30033
Шахтарське,48.3505864,36.402296,містечко,,29173
Тернівка,48.522139,36.0713859,містечко,,29066
Алушта,44.677112,34.4095393,містечко,,28672
Сарни,51.3350028,26.6171275,містечко,,28604
Новий Розділ,49.4696071,24.1386133,містечко,,28530
Трускавець,49.2782012,23.5059668,містечко,,28474
Золотоноша,49.6689719,32.0427439,містечко,,28464
